School_Id,Org_Name,Telephone,Fax,Email,Contact,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened,Region
5,Kerikeri High School,NA,NA,NA,NA,http://www.kerikerihigh.ac.nz,48 Hone Heke Road ,,Kerikeri,PO Box 92,,Kerikeri,245,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103000,Kerikeri Central,Bay of Islands-Whangaroa General Ward,-35.228354,173.955389,Yes,463,00:00.0,1689,1217,522,74,97,32,14,116,1.67,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
6,Broadwood Area School,NA,NA,NA,NA,http://broadwood.school.nz,1041 Broadwood Road ,,Broadwood,PO Box 12,,Broadwood,462,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101700,Kohukohu-Broadwood,Kaikohe-Hokianga General Ward,-35.261248,173.39499,No,558,00:00.0,123,29,117,18,0,0,0,0,2.61,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
7,Okaihau College,NA,NA,NA,NA,http://www.okaihau-college.school.nz,58 Settlers Way ,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102300,Ōkaihau,Kaikohe-Hokianga General Ward,-35.323759,173.765764,Yes,516,00:00.0,277,86,213,34,7,1,2,0,1.83,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
8,Bay of Islands College,NA,NA,NA,NA,http://www.boic.school.nz,1-9 Derrick Road ,,Kawakawa,PO Box 58,,Kawakawa,243,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104600,Kawakawa,Bay of Islands-Whangaroa General Ward,-35.379502,174.075901,Yes,530,00:00.0,499,107,424,35,9,3,3,0,1.5,Some students taught in te reo Māori,No,No,Open,1858-11-17 00:00:00.0000000,Northland Region
9,Northland College,NA,NA,NA,NA,http://www.northlandcollege.school.nz,62 Mangakahia Road ,,Kaikohe,PO Box 261,,Kaikohe,440,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103501,Kaikohe,Kaikohe-Hokianga General Ward,-35.413889,173.809917,No,552,00:00.0,328,44,301,37,5,0,1,0,1.82,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
10,Te Kura Taumata o Panguru,NA,NA,NA,NA,http://www.panguru.school.nz,2178 West Coast Road ,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101600,Hokianga North,Kaikohe-Hokianga General Ward,-35.380527,173.383068,No,542,00:00.0,117,13,116,7,0,1,1,0,3.11,Some students taught in te reo Māori,No,No,Open,00:00.0,Northland Region
11,Opononi Area School,NA,NA,NA,NA,,263 State Highway 12 ,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural settlement,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102900,Waipoua Forest,Kaikohe-Hokianga General Ward,-35.528555,173.390212,No,537,00:00.0,161,45,147,15,6,0,2,0,2.8,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
12,Tauraroa Area School,NA,NA,NA,NA,http://www.tauraroa.school.nz,398 Tauraroa Road ,,Maungakaramea,PO Box 36,,Maungakaramea,146,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,107800,Oakleigh-Mangapai,Bream Bay General Ward,-35.873069,174.218169,No,477,00:00.0,433,388,131,12,21,4,5,2,0.95,All students taught in English/other setting,No,No,Open,1858-11-17 00:00:00.0000000,Northland Region
13,Te Kamo High School,NA,NA,NA,NA,http://www.kamohigh.school.nz/,1 Wilkinson Avenue ,Kamo,Whangarei,PO Box 4137,Kamo,Whangarei,141,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106000,Kamo Central,Whangārei Urban General Ward,-35.684394,174.302813,Yes,508,00:00.0,839,585,472,103,50,9,4,15,0.71,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
14,Tikipunga High School,NA,NA,NA,NA,https://tikipungahigh.school.nz/,194 Corks Road ,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,144,Large urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106201,Tikipunga North,Whangārei Urban General Ward,-35.683559,174.328317,No,560,00:00.0,375,81,332,38,9,5,2,0,0.7,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
15,Whangārei Boys' High School,NA,NA,NA,NA,http://www.wbhs.school.nz,245 Western Hills Drive ,Avenues,Whangarei,PO Box 5034,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Boys School,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.716116,174.318379,Yes,474,00:00.0,1486,1079,661,129,124,16,15,9,0.6,All students taught in English/other setting,No,No,Open,1878-11-02 00:00:00.0000000,Northland Region
16,Whangārei Girls' High School,NA,NA,NA,NA,http://www.wghs.school.nz,1 Lupton Avenue ,Regent,Whangarei,PO Box 5056,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Girls School,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.713289,174.31955,Yes,471,00:00.0,1569,1201,656,127,146,23,29,27,0.6,All students taught in English/other setting,Yes,No,Open,1878-11-02 00:00:00.0000000,Northland Region
17,Pompallier Catholic College,NA,NA,NA,NA,http://www.pompallier.school.nz/,State Highway 14 ,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,143,Large urban area,Secondary (Year 7-15),,State : Integrated,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106901,Maunu,Mangakahia-Maungatapere General Ward,-35.744864,174.275713,No,424,00:00.0,653,397,116,39,170,17,3,9,0.67,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
18,Mangakahia Area School,NA,NA,NA,NA,http://www.mangakahia.school.nz,1480 Mangakahia Road ,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104800,Mangakahia-Hūkerenui,Mangakahia-Maungatapere General Ward,-35.732278,174.058779,No,560,00:00.0,88,41,74,9,0,0,0,0,1.06,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
19,Dargaville High School,NA,NA,NA,NA,http://www.dargavillehighschool.co.nz,Plunket Street ,,Dargaville,Plunket Street,,Dargaville,310,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109301,Dargaville,Wairoa General Ward,-35.931691,173.868056,No,515,00:00.0,412,226,226,60,25,3,0,0,1.58,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
20,Bream Bay College,NA,NA,NA,NA,http://www.breambaycollege.school.nz/,2 Peter Snell Road ,,Ruakaka,PO Box 111,,Ruakaka,151,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,108800,Ruakākā,Bream Bay General Ward,-35.876079,174.455784,Yes,482,00:00.0,635,443,263,57,44,17,6,4,0.98,Some students taught in te reo Māori,No,No,Open,00:00.0,Northland Region
21,Otamatea High School,NA,NA,NA,NA,http://www.otamatea.school.nz,Bickerstaffe Road ,,Maungaturoto,PO Box 64,,Maungaturoto,547,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109600,Maungatūroto,Otamatea General Ward,-36.117231,174.365259,Yes,480,00:00.0,588,481,206,26,44,13,2,0,1.38,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
22,Ruawai College,NA,NA,NA,NA,http://www.ruawaicollege.school.nz,4375 State Highway 12 ,,Ruawai,PO Box 7,,Ruawai,549,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109400,Rūāwai-Matakohe,Otamatea General Ward,-36.122571,174.011673,No,526,00:00.0,148,97,72,14,3,0,0,0,1.86,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
23,Rodney College,NA,NA,NA,NA,http://www.rodneycollege.school.nz,287 Rodney Street ,,Wellsford,287 Rodney Street,,Wellsford,900,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,110501,Wellsford,Rodney Ward,-36.28816,174.520831,Yes,489,00:00.0,369,278,144,31,27,7,3,0,1.06,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
24,Mahurangi College,NA,NA,NA,NA,http://www.mahurangi.school.nz,Woodcocks Road ,,Warkworth,PO Box 64,,Warkworth,941,Small urban area,Secondary (Year 7-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,111100,Warkworth West,Rodney Ward,-36.406517,174.655544,Yes,441,00:00.0,1617,1296,295,196,138,34,25,48,0.61,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
25,Orewa College,NA,NA,NA,NA,https://www.orewacollege.nz/,76 Riverside Road ,,Orewa,PO Box 345,,Orewa,946,Large urban area,Secondary (Year 7-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Hibiscus and Bays Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Whangaparāoa,Te Tai Tokerau,112901,Orewa South,Albany Ward,-36.591698,174.689747,Yes,432,00:00.0,2338,1769,325,150,477,97,68,109,0.56,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
26,Kaipara College,NA,NA,NA,NA,http://www.kaipara.school.nz/,Rautawhiri Road ,,Helensville,Rautawhiri Road,,Helensville,800,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,112401,Helensville,Rodney Ward,-36.680156,174.459138,Yes,460,00:00.0,751,655,246,61,47,12,7,10,0.91,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
27,Long Bay College,NA,NA,NA,NA,http://www.longbaycollege.com,Ashley Avenue ,Torbay,Auckland,PO Box 89007,Torbay,Auckland,742,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Hibiscus and Bays Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,116500,Long Bay,Albany Ward,-36.691395,174.738757,Yes,422,00:00.0,1968,1320,155,53,593,105,43,141,0.3,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
28,Rangitoto College,NA,NA,NA,NA,http://www.rangitoto.school.nz,564 East Coast Road ,Browns Bay,Auckland,PO Box 93601,Browns Bay,Auckland,753,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Upper Harbour Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,119700,Windsor Park,Albany Ward,-36.737197,174.736684,Yes,397,00:00.0,4178,1582,204,81,2478,218,36,238,0.2,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
29,Kristin School,NA,NA,NA,NA,http://www.kristin.school.nz/,360 Albany Highway ,Albany,Auckland,PO Box 300087,Albany,Auckland,752,Major urban area,Composite,,Private : Fully Registered,Not applicable,Co-Educational,,Te Tai Raro,Upper Harbour Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,117400,Albany West,Albany Ward,-36.742989,174.692243,No,not applicable,00:00.0,1739,936,42,18,859,41,6,39,not applicable,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
30,Glenfield College,NA,NA,NA,NA,https://www.gc.ac.nz/,60 Kaipatiki Road ,Glenfield,Auckland,PO Box 40176,Glenfield,North Shore City,747,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,123100,Glenfield West,North Shore Ward,-36.779801,174.714953,No,466,00:00.0,786,294,110,88,422,34,8,36,0.1,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
31,Birkenhead College,NA,NA,NA,NA,http://www.birkenhead.school.nz/,140 Birkdale Road ,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,122802,Birkdale Central,North Shore Ward,-36.799175,174.701151,No,464,00:00.0,520,260,114,120,134,21,6,50,0.17,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
32,Northcote College,NA,NA,NA,NA,http://www.northcote.school.nz,Kauri Glen Road ,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Kaipātiki Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,127300,Northcote South (Auckland),North Shore Ward,-36.808881,174.733677,Yes,428,00:00.0,1616,1029,227,149,511,85,26,147,0.14,All students taught in English/other setting,No,No,Open,1877-01-26 00:00:00.0000000,Auckland Region
35,Carmel College,NA,NA,NA,NA,http://www.carmel.school.nz/,108 Shakespeare Road ,Milford,Auckland,PO Box 31142,Milford,North Shore City,741,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,Te Tai Raro,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.779176,174.756742,Yes,382,00:00.0,1120,665,74,56,422,67,21,51,0.05,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
36,Takapuna Grammar School,NA,NA,NA,NA,http://www.takapuna.school.nz,210 Lake Road ,Takapuna,Auckland,PO Box 331096,Takapuna,Auckland,740,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,129300,Belmont (Auckland),North Shore Ward,-36.800616,174.788477,Yes,393,00:00.0,2262,1572,181,66,667,94,48,204,0.17,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
37,Westlake Boys High School,NA,NA,NA,NA,http://www.westlake.school.nz,Forrest Hill Road ,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Boys School,,Te Tai Raro,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,123400,Forrest Hill West,North Shore Ward,-36.777366,174.749491,Yes,399,00:00.0,2822,1475,257,165,1252,122,69,173,0.03,Some students taught in te reo Māori,No,No,Open,00:00.0,Auckland Region
38,Westlake Girls' High School,NA,NA,NA,NA,http://www.westlakegirls.school.nz,2 Wairau Road ,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Girls School,,Te Tai Raro,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.782458,174.752309,Yes,403,00:00.0,2305,1160,241,148,1082,119,51,145,0.03,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
39,Rosmini College,NA,NA,NA,NA,http://www.rosmini.school.nz,36 Dominion Street ,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,Te Tai Raro,Devonport-Takapuna Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126601,Takapuna West,North Shore Ward,-36.792443,174.760146,No,387,00:00.0,1214,798,120,93,365,62,17,46,0.08,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
40,Rutherford College,NA,NA,NA,NA,https://www.rutherford.school.nz/,Kotuku Street ,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,124800,Te Atatū Peninsula West,Waitākere Ward,-36.85259,174.646309,Yes,459,00:00.0,1629,762,342,323,493,81,27,49,0.32,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
41,Macleans College,NA,NA,NA,NA,http://www.macleans.school.nz,2 Macleans Road ,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,148000,Eastern Beach,Howick Ward,-36.882722,174.914424,Yes,385,00:00.0,3071,870,94,74,2225,87,82,244,0.41,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
42,Green Bay High School,NA,NA,NA,NA,http://www.greenbayhigh.school.nz,143-161 Godley Road ,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Whau Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,New Lynn,Tāmaki Makaurau,137300,Green Bay North,Whau Ward,-36.93095,174.669395,Yes,430,00:00.0,1953,1419,257,168,385,125,20,52,0.08,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
43,Massey High School,NA,NA,NA,NA,http://www.masseyhigh.school.nz/,274 Don Buck Road ,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,121701,Massey West,Waitākere Ward,-36.84188,174.601693,Yes,486,00:00.0,2197,784,486,584,483,76,11,43,0.35,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
44,Waitakere College,NA,NA,NA,NA,https://www.waitakerecollege.school.nz/,42 Rathgar Road ,Henderson,Auckland,PO Box 21144,Henderson,Waitakere,650,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.867097,174.620712,Yes,480,00:00.0,2051,760,536,626,626,89,34,40,0.24,Some students taught in te reo Māori,No,No,Open,00:00.0,Auckland Region
45,Henderson High School,NA,NA,NA,NA,http://www.hhs.school.nz,Henderson Valley Road ,Henderson,Auckland,PO Box 21141,Henderson,Waitakere,650,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,126702,Henderson West,Waitākere Ward,-36.883656,174.628205,Yes,481,00:00.0,1058,456,268,344,297,46,7,5,0.21,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
46,Liston College,NA,NA,NA,NA,http://www.liston.school.nz,69 Rathgar Road ,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.866064,174.623159,No,414,00:00.0,863,376,94,227,339,34,17,31,0.24,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
47,St Dominic's Catholic College (Henderson),NA,NA,NA,NA,http://www.stdoms.ac.nz,29 Rathgar Road ,Henderson,Auckland,PO Box 21123,Henderson,Waitakere,650,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,Te Tai Raro,Henderson-Massey Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Te Atatū,Te Tai Tokerau,125701,Henderson Lincoln South,Waitākere Ward,-36.868859,174.621071,Yes,423,00:00.0,863,349,81,205,339,35,10,45,0.24,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
48,Western Springs College-Ngā Puna o Waiōrea,NA,NA,NA,NA,http://www.westernsprings.school.nz,Motions Road ,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Mt Albert,Tāmaki Makaurau,130300,Westmere South-Western Springs,Waitematā and Gulf Ward,-36.861976,174.717535,Yes,422,00:00.0,1799,1018,509,249,413,82,23,113,0.18,Some students taught in te reo Māori,No,No,Open,00:00.0,Auckland Region
49,Selwyn College,NA,NA,NA,NA,http://www.selwyn.school.nz,Kohimarama Road ,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Co-Educational,,Te Tai Raro,Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Tāmaki,Tāmaki Makaurau,141802,Kohimarama Stadium,Ōrākei Ward,-36.86233,174.838551,Yes,411,00:00.0,1624,929,124,123,544,186,23,107,0.26,Some students taught in a Pacific language,No,No,Open,00:00.0,Auckland Region
50,St Mary's College (Ponsonby),NA,NA,NA,NA,http://www.stmaryak.school.nz,11 New Street ,Ponsonby,Auckland,PO Box 47003,Ponsonby,Auckland,1144,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Girls School,,Te Tai Raro,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Auckland Central,Tāmaki Makaurau,130200,Saint Marys Bay,Waitematā and Gulf Ward,-36.846003,174.748234,No,388,00:00.0,1012,545,122,258,325,27,11,54,0.08,All students taught in English/other setting,No,No,Open,1858-11-17 00:00:00.0000000,Auckland Region
51,St Paul's College (Ponsonby),NA,NA,NA,NA,http://www.stpaulscollege.co.nz/,183 Richmond Road ,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Major urban area,Secondary (Year 7-15),,State : Integrated,Donations may be requested,Boys School,,Te Tai Raro,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Auckland Central,Tāmaki Makaurau,130400,Ponsonby West,Waitematā and Gulf Ward,-36.854456,174.73779,No,480,00:00.0,402,98,79,353,19,12,1,0,0.11,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
52,Tyndale Park Christian School,NA,NA,NA,NA,http://www.tyndalepark.school.nz,206 Murphys Road ,Flat Bush,Auckland,206 Murphys Road,Flat Bush,Auckland,2019,Major urban area,Composite,,Private : Fully Registered,Not applicable,Co-Educational,,Te Tai Raro,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Takanini,Tāmaki Makaurau,158101,Ormiston Central,Howick Ward,-36.974546,174.922239,No,not applicable,00:00.0,119,14,1,10,98,6,1,0,not applicable,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
53,Auckland Girls' Grammar School,NA,NA,NA,NA,http://www.aggs.school.nz,Howe Street ,Newton,Auckland,PO Box 68053 Wellesley Street,,Auckland,1141,Major urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Girls School,,Te Tai Raro,Waitematā Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Auckland Central,Tāmaki Makaurau,131801,Freemans Bay,Waitematā and Gulf Ward,-36.856867,174.753659,Yes,485,00:00.0,1211,229,272,813,289,19,12,23,0.06,All students taught in English/other setting,No,No,Open,1888-09-01 00:00:00.0000000,Auckland Region
54,Auckland Grammar School,NA,NA,NA,NA,http://www.ags.school.nz,Mountain Road ,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Major urban area,Secondary (Year 9-15),,State,Donations may be requested,Boys School,,Te Tai Raro,Albert-Eden Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Epsom,Tāmaki Makaurau,137701,Mount Eden North East,Albert-Eden-Puketāpapa Ward,-36.869414,174.768851,Yes,386,00:00.0,2780,1038,180,191,1629,80,25,136,0.1,All students taught in English/other setting,Yes,No,Open,1869-05-17 00:00:00.0000000,Auckland Region
