"","Country.Code","Country.Name","gdp","milexp","population"
"181","NZL","New Zealand",204.482365452675,3.01138870863076,5084300
"185","PAK","Pakistan",319.589670093838,10.3763816208134,220892331
"186","PAN","Panama",52.5206972092337,0,4314768
"187","PER","Peru",190.979128768533,2.63312338963642,32971846
"188","PHL","Philippines",358.294070260977,3.73267366639125,109581085
"190","PNG","Papua New Guinea",23.8546640823199,0.0858870967741936,8947027
"191","POL","Poland",555.630454967502,13.0266803488969,37950802
"195","PRT","Portugal",203.507675081482,4.63912002735666,10305564
"196","PRY","Paraguay",40.4468086609894,0.364342199983714,7132530
"202","ROU","Romania",208.838846565924,5.72684421399953,19286123
"203","RUS","Russian Federation",1416.1244313283,61.7125371689371,144104080
"204","RWA","Rwanda",10.8071886923483,0.143021890529578,12952209
"205","SAS","South Asia",3235.66007305152,90.0995054422682,1856882402
"206","SAU","Saudi Arabia",650.714601909915,57.519424,34813867
"207","SDN","Sudan",49.4498880253069,0.934311153803525,43849269
"208","SEN","Senegal",22.8527559344895,0.393007454776096,16743930
"209","SGP","Singapore",330.099796334012,10.8555837563452,5685807
"211","SLE","Sierra Leone",4.976753933906,0.0238273810780594,7976985
"212","SLV","El Salvador",23.5608259969743,0.37228,6486201
"214","SOM","Somalia",5.15191435419933,0.098385,15893219
"215","SRB","Serbia",45.184791299441,1.12121178340862,6908224
"222","SVK","Slovak Republic",94.7310143122407,1.83745583038869,5458827
"223","SVN","Slovenia",48.1246933108877,0.574831870511798,2100126
"224","SWE","Sweden",533.611847447428,6.45362728062554,10353442
"225","SWZ","Eswatini",4.31963414518863,0.0751097583191644,1160164
"227","SYC","Seychelles",1.38626237734522,0.0188141324626866,98462
"230","TCD","Chad",10.4263434114082,0.32286652649139,16425859
"233","TGO","Togo",5.1876391954239,0.11630493335882,8278737
"234","THA","Thailand",432.649179610326,7.34018855864493,69799978
"235","TJK","Tajikistan",11.4362039545867,0.0803700097370984,9537642
"238","TLS","Timor-Leste",2.09349756869774,0.038456,1318442
"243","TTO","Trinidad and Tobago",20.8137579085789,0.157370326584897,1399491
"244","TUN","Tunisia",44.6815039904623,1.15737236701178,11818618
"245","TUR","Turkey",1015.32666271527,17.7246320660686,84339067
"247","TZA","Tanzania",61.522709091989,0.659313034174651,59734213
"248","UGA","Uganda",40.7687659399399,0.984759731680869,45741000
"249","UKR","Ukraine",97.8663388561037,5.9242008803055,44134693
"251","URY","Uruguay",52.2609722818054,1.16360769769087,3473727
"252","USA","United States",19247.059,778.2322,329484123
"262","XKX","Kosovo",7.14436759023064,0.0789650062692351,1775378
"264","ZAF","South Africa",335.640150576122,3.15082888025261,59308690
"265","ZMB","Zambia",23.4189457368993,0.212142427391566,18383956
