"Year","Age","Ethnic","Sex","count"
2018,55,"Asian","Female",18195
2018,55,"MELAA","Male",1287
2018,55,"MELAA","Female",1239
2018,55,"Other","Male",2712
2018,55,"Other","Female",2112
2018,55,"Not Elsewhere Included","Male",129
2018,55,"Not Elsewhere Included","Female",204
2018,60,"European","Male",102405
2018,60,"European","Female",107259
2018,60,"Maori","Male",13131
2018,60,"Maori","Female",14559
2018,60,"Pacific Peoples","Male",5403
2018,60,"Pacific Peoples","Female",5484
2018,60,"Asian","Male",12900
2018,60,"Asian","Female",16374
2018,60,"MELAA","Male",936
2018,60,"MELAA","Female",882
2018,60,"Other","Male",1971
2018,60,"Other","Female",1482
2018,60,"Not Elsewhere Included","Male",228
2018,60,"Not Elsewhere Included","Female",264
2018,65,"European","Male",95001
2018,65,"European","Female",99186
2018,65,"Maori","Male",9717
2018,65,"Maori","Female",10728
2018,65,"Pacific Peoples","Male",3984
2018,65,"Pacific Peoples","Female",4194
2018,65,"Asian","Male",9816
2018,65,"Asian","Female",10965
2018,65,"MELAA","Male",660
2018,65,"MELAA","Female",564
2018,65,"Other","Male",1419
2018,65,"Other","Female",1074
2018,65,"Not Elsewhere Included","Male",237
2018,65,"Not Elsewhere Included","Female",243
2018,70,"European","Male",78984
2018,70,"European","Female",83766
2018,70,"Maori","Male",5913
2018,70,"Maori","Female",6792
2018,70,"Pacific Peoples","Male",2550
2018,70,"Pacific Peoples","Female",2883
2018,70,"Asian","Male",5862
2018,70,"Asian","Female",6387
2018,70,"MELAA","Male",402
2018,70,"MELAA","Female",378
2018,70,"Other","Male",945
2018,70,"Other","Female",777
2018,70,"Not Elsewhere Included","Male",219
2018,70,"Not Elsewhere Included","Female",180
2018,75,"European","Male",55293
2018,75,"European","Female",62460
2018,75,"Maori","Male",3774
2018,75,"Maori","Female",4458
2018,75,"Pacific Peoples","Male",1590
2018,75,"Pacific Peoples","Female",1986
2018,75,"Asian","Male",3756
2018,75,"Asian","Female",4416
2018,75,"MELAA","Male",216
2018,75,"MELAA","Female",222
2018,75,"Other","Male",504
2018,75,"Other","Female",474
2018,75,"Not Elsewhere Included","Male",93
2018,75,"Not Elsewhere Included","Female",117
2018,80,"European","Male",34119
2018,80,"European","Female",42300
2018,80,"Maori","Male",1764
2018,80,"Maori","Female",2538
2018,80,"Pacific Peoples","Male",762
2018,80,"Pacific Peoples","Female",1182
2018,80,"Asian","Male",2415
2018,80,"Asian","Female",2616
2018,80,"MELAA","Male",120
2018,80,"MELAA","Female",162
2018,80,"Other","Male",243
2018,80,"Other","Female",225
2018,80,"Not Elsewhere Included","Male",36
2018,80,"Not Elsewhere Included","Female",24
2018,85,"European","Male",20385
2018,85,"European","Female",29592
2018,85,"Maori","Male",711
2018,85,"Maori","Female",1254
2018,85,"Pacific Peoples","Male",330
2018,85,"Pacific Peoples","Female",609
2018,85,"Asian","Male",942
2018,85,"Asian","Female",1170
2018,85,"MELAA","Male",57
2018,85,"MELAA","Female",60
2018,85,"Other","Male",105
2018,85,"Other","Female",162
2018,85,"Not Elsewhere Included","Male",12
2018,85,"Not Elsewhere Included","Female",9
2018,90,"European","Male",7713
2018,90,"European","Female",14865
2018,90,"Maori","Male",171
2018,90,"Maori","Female",390
2018,90,"Pacific Peoples","Male",84
2018,90,"Pacific Peoples","Female",237
2018,90,"Asian","Male",249
2018,90,"Asian","Female",426
2018,90,"MELAA","Male",27
2018,90,"MELAA","Female",42
2018,90,"Other","Male",36
2018,90,"Other","Female",63
2018,90,"Not Elsewhere Included","Male",3
2018,90,"Not Elsewhere Included","Female",0
2018,95,"European","Male",1488
